ticker,date,open,high,low,close,adj close,volume
AAPL,2021-12-02,158.735,164.2,157.8,163.76,163.76,133657333
AAPL,2021-12-01,167.48,170.295,164.53,164.77,164.77,145135682
AAPL,2021-11-30,153.71,165.52,159.92,165.3,165.3,168441264
AAPL,2021-11-29,159.37,161.19,158.79,160.24,160.24,88663200
AAPL,2021-11-26,159.57,160.45,156.36,156.81,156.81,76959800
AAPL,2021-11-24,160.75,162.14,159.64,161.94,161.94,69342151
AAPL,2021-11-23,161.12,161.8,159.07,161.41,161.41,93126966
AAPL,2021-11-22,161.68,165.7,161.63,163.765,161.02,83294253
AAPL,2021-11-19,157.65,161.02,156.533,160.55,160.55,111823351
AAPL,2021-11-18,153.71,158.67,153.06,157.87,157.87,134541314
AAPL,2021-11-17,150.995,155.0,150.995,153.49,153.49,88042552
AAPL,2021-11-16,149.94,151.488,149.34,151.0,151.0,55115245
AAPL,2021-11-15,150.37,151.88,149.43,150.0,150.0,55958623
AAPL,2021-11-12,148.43,150.395,147.48,149.99,149.99,60201722
AAPL,2021-11-11,148.96,149.08,147.681,147.87,147.87,40264924
AAPL,2021-11-10,150.02,150.13,147.85,147.92,147.92,64290747
AAPL,2021-11-09,150.2,151.428,150.07,150.81,150.81,52994252
AAPL,2021-11-08,151.41,151.55,150.16,150.44,150.44,53101144
AAPL,2021-11-05,151.89,152.19,150.06,151.07,151.28,62261679
AAPL,2021-11-04,151.58,152.43,150.64,150.96,150.74,58342505
AAPL,2021-11-03,150.39,151.97,149.83,151.49,151.269,51035964
AAPL,2021-11-02,148.66,151.57,148.68,150.02,149.801,68861113
AAPL,2021-11-01,148.985,149.7,147.8,148.96,148.743,71261610
AAPL,2021-10-29,147.215,149.935,146.413,149.8,149.582,116337450
AAPL,2021-10-28,149.82,153.165,149.72,152.57,152.348,88386287
AAPL,2021-10-27,149.36,149.73,148.49,148.85,148.633,51361252
AAPL,2021-10-26,149.33,150.84,149.01,149.32,149.102,60564070
AAPL,2021-10-25,148.68,149.37,147.621,148.64,148.423,49954028
AAPL,2021-10-22,149.69,150.18,148.64,148.69,148.473,57045863
AAPL,2021-10-21,148.81,149.64,147.87,149.48,149.262,59272049
AAPL,2021-10-20,148.7,149.752,148.12,149.26,149.042,57124509
AAPL,2021-10-19,147.01,149.17,146.55,148.76,148.543,72074945
AAPL,2021-10-18,143.445,146.84,143.16,146.55,146.336,79797028
AAPL,2021-10-15,143.77,144.895,143.515,144.84,144.629,65076405
AAPL,2021-10-14,142.11,143.88,141.51,143.76,143.55,62804798
AAPL,2021-10-13,141.235,141.4,139.2,140.91,140.705,74732031
AAPL,2021-10-12,143.23,143.25,141.04,141.51,141.304,66552637
AAPL,2021-10-11,142.27,144.81,141.81,142.81,142.602,63012662
AAPL,2021-10-08,144.03,144.17,142.56,142.9,142.692,55050009
AAPL,2021-10-07,143.06,144.215,142.73,143.29,143.081,59954098
AAPL,2021-10-06,139.47,142.15,138.37,142.0,141.793,80864213
AAPL,2021-10-05,139.49,142.24,139.36,141.11,140.904,77297673
AAPL,2021-10-04,141.76,142.21,138.27,139.14,138.937,97845031
AAPL,2021-10-01,141.9,142.92,139.11,142.65,142.442,91208796
AAPL,2021-09-30,143.66,144.378,141.3,141.5,141.294,88625397
AAPL,2021-09-29,142.47,144.45,142.03,142.83,142.622,73212263
AAPL,2021-09-28,143.25,144.75,141.7,141.91,141.703,108392608
AAPL,2021-09-27,145.47,145.95,143.82,145.061,145.158,39772821
AAPL,2021-09-24,145.66,146.28,145.57,145.91,146.706,9188474
AAPL,2021-09-23,146.65,147.08,145.64,146.83,146.616,64755200
AAPL,2021-09-22,144.45,145.28,143.7,145.085,145.637,16151385
AAPL,2021-09-21,143.93,144.6,142.78,143.43,143.221,73196456
AAPL,2021-09-20,143.8,144.84,141.28,142.94,142.732,116070238
AAPL,2021-09-17,148.82,148.79,145.76,146.06,145.847,117976165
AAPL,2021-09-16,148.44,148.968,147.221,148.79,148.573,65848922
AAPL,2021-09-15,148.56,149.44,146.37,149.03,148.813,79159981
AAPL,2021-09-14,150.35,151.07,146.91,148.12,147.904,105455815
AAPL,2021-09-13,150.63,151.41,149.05,149.985,149.332,36864743
AAPL,2021-09-10,155.0,155.48,154.33,154.41,148.753,17905831
AAPL,2021-09-09,155.49,156.11,153.95,154.07,153.845,54962409
AAPL,2021-09-08,156.98,157.04,153.975,155.11,154.884,71558232
AAPL,2021-09-07,154.97,157.26,154.39,156.69,156.462,80079257
AAPL,2021-09-03,153.76,154.63,153.1,154.3,154.075,56667879
AAPL,2021-09-02,153.87,154.72,153.85,154.445,153.426,10474571
AAPL,2021-09-01,152.83,154.98,152.34,152.51,152.288,79896599
AAPL,2021-08-31,149.0,153.49,148.61,151.83,151.609,81102552
AAPL,2021-08-30,149.0,153.49,148.61,153.12,152.897,90197499
AAPL,2021-08-27,147.48,148.75,146.83,148.6,148.383,54200035
AAPL,2021-08-26,148.35,149.12,147.81,147.91,147.325,12962527
AAPL,2021-08-25,149.81,150.32,147.8,148.36,148.144,57790733
AAPL,2021-08-24,149.45,150.86,149.15,149.62,149.402,47467000
