,ticker,date,close
0,AAPL,2021-12-02,163.76
1,AAPL,2021-12-01,164.77
2,AAPL,2021-11-30,165.3
3,AAPL,2021-11-29,160.24
4,AAPL,2021-11-26,156.81
5,AAPL,2021-11-24,161.94
6,AAPL,2021-11-23,161.41
7,AAPL,2021-11-22,163.765
8,AAPL,2021-11-19,160.55
9,AAPL,2021-11-18,157.87
10,AAPL,2021-11-17,153.49
11,AAPL,2021-11-16,151.0
12,AAPL,2021-11-15,150.0
13,AAPL,2021-11-12,149.99
14,AAPL,2021-11-11,147.87
15,AAPL,2021-11-10,147.92
16,AAPL,2021-11-09,150.81
17,AAPL,2021-11-08,150.44
18,AAPL,2021-11-05,151.07
19,AAPL,2021-11-04,150.96
20,AAPL,2021-11-03,151.49
21,AAPL,2021-11-02,150.02
22,AAPL,2021-11-01,148.96
23,AAPL,2021-10-29,149.8
24,AAPL,2021-10-28,152.57
25,AAPL,2021-10-27,148.85
26,AAPL,2021-10-26,149.32
27,AAPL,2021-10-25,148.64
28,AAPL,2021-10-22,148.69
29,AAPL,2021-10-21,149.48
30,AAPL,2021-10-20,149.26
31,AAPL,2021-10-19,148.76
32,AAPL,2021-10-18,146.55
33,AAPL,2021-10-15,144.84
34,AAPL,2021-10-14,143.76
35,AAPL,2021-10-13,140.91
36,AAPL,2021-10-12,141.51
37,AAPL,2021-10-11,142.81
38,AAPL,2021-10-08,142.9
39,AAPL,2021-10-07,143.29
40,AAPL,2021-10-06,142.0
41,AAPL,2021-10-05,141.11
42,AAPL,2021-10-04,139.14
43,AAPL,2021-10-01,142.65
44,AAPL,2021-09-30,141.5
45,AAPL,2021-09-29,142.83
46,AAPL,2021-09-28,141.91
47,AAPL,2021-09-27,145.061
48,AAPL,2021-09-24,145.91
49,AAPL,2021-09-23,146.83
50,AAPL,2021-09-22,145.085
51,AAPL,2021-09-21,143.43
52,AAPL,2021-09-20,142.94
53,AAPL,2021-09-17,146.06
54,AAPL,2021-09-16,148.79
55,AAPL,2021-09-15,149.03
56,AAPL,2021-09-14,148.12
57,AAPL,2021-09-13,149.985
58,AAPL,2021-09-10,154.41
59,AAPL,2021-09-09,154.07
60,AAPL,2021-09-08,155.11
61,AAPL,2021-09-07,156.69
62,AAPL,2021-09-03,154.3
63,AAPL,2021-09-02,154.445
64,AAPL,2021-09-01,152.51
65,AAPL,2021-08-31,151.83
66,AAPL,2021-08-30,153.12
67,AAPL,2021-08-27,148.6
68,AAPL,2021-08-26,147.91
69,AAPL,2021-08-25,148.36
70,AAPL,2021-08-24,149.62
71,AAPL,2021-08-23,149.71
72,AAPL,2021-08-20,148.19
73,AAPL,2021-08-19,145.94
74,AAPL,2021-08-18,146.36
75,AAPL,2021-08-17,150.19
76,AAPL,2021-08-16,151.12
77,AAPL,2021-08-13,149.1
78,AAPL,2021-08-12,147.69
79,AAPL,2021-08-11,145.86
80,AAPL,2021-08-10,145.6
81,AAPL,2021-08-09,145.95
82,AAPL,2021-08-06,146.14
83,AAPL,2021-08-05,147.06
84,AAPL,2021-08-04,146.95
85,AAPL,2021-08-03,147.368
86,AAPL,2021-08-02,145.52
87,AAPL,2021-07-30,145.86
88,AAPL,2021-07-29,145.64
89,AAPL,2021-07-28,144.98
90,AAPL,2021-07-27,146.77
91,AAPL,2021-07-26,148.99
92,AAPL,2021-07-23,148.56
93,AAPL,2021-07-22,146.8
94,AAPL,2021-07-21,145.4
95,AAPL,2021-07-20,146.15
96,AAPL,2021-07-19,142.45
97,AAPL,2021-07-16,146.39
98,AAPL,2021-07-15,148.48
99,AAPL,2021-07-14,149.15
100,AAPL,2021-07-13,145.64
101,AAPL,2021-07-12,144.5
102,AAPL,2021-07-09,145.135
103,AAPL,2021-07-08,143.24
104,AAPL,2021-07-07,143.82
105,AAPL,2021-07-06,142.02
106,AAPL,2021-07-02,139.96
107,AAPL,2021-07-01,137.27
108,AAPL,2021-06-30,136.96
109,AAPL,2021-06-29,136.33
110,AAPL,2021-06-28,134.78
111,AAPL,2021-06-25,133.11
112,AAPL,2021-06-24,133.41
